Từ	Nghĩa
Et ot (đgt)	1. Ooøng ẻo. Eùbat et ot: đi õng ẻo.
	2. Cọt kẹt. Kram myûê et ot: Tre kêu cọt kẹt.
	 
Ĕ	 
Ĕ (tt)	Beô. 
Ĕk ŏk  (tt)	Nuôc ních. {o# mta e\k o\k: Bộ mặt nuôc ních.
Ĕr (dt)	Nốt nhạc. Aáu mmuyû amâo djo\ e\r: Anh hát không đuông nốt.
 	 
E	 
Ea (dt)	1. Nước. Eùa êngeh [hang: Nước trong văt. 
	2. Màu. Ao anei êa mtah: Aoûo này màu xanh.
Ea bah (dt)	Nước miếng.
Ea drao (dt)	Thuốc. 
Ea drao gŭn (dt)	Thuốc men.
Ea jua (dt)	Nước nôi.  
Ea juôr (dt)	Sông ngòi.  
Ea k’hŏ (dt)	Mồ hôi.
Ea klôñ (dt)	Nước hoa.
Ea ksâo (dt)	Sữa.
Ea pơ̆ng (dt)	Nước máy.
Ea pui (dt)	Dầu lửa.
Ea săng (dt)	Xăng.
E- ăt (tt)	1. Lạnh. Adiê hruê anei ê- ăt: Trời hôm nay lạnh; Djo\ ê- ăt: Nhiễm lạnh.
	2. Nguội. Eùsei ê- ăt: Cơm nguội. 
E- ăt hriêt (tt)	1. Lạnh ngăt. Kiê kngan ê- ăt hriêt: Bàn tay lạnh ngăt. 
	2. Lạnh lẽo. Yan puih ê- ăt hriêt: Mùa đông lạnh lẽo. 
	3. Lạnh giá. Dhul k’uă ê- ăt hriêt: Sương muối lạnh giá.
Eba (dt)	Cơm rượu.
Ebah (tt)	Kiệt. Eùbah ai tiê: Kiệt sức.
Ebai (dt)	Đậu ván.
Ebai grăm (dt)	Đậu ngự 
Ebai gri (dt)	Đậu rồng.
Eban (dt)	Họ eùban.
Ebat (đgt)	Đi.
Ebăng (tt)	Thính. Knga aê êbăng êdi: Tai ông rất thính.
Ebâo (dt)	Ngheãn. Sa êbâo: Một ngheãn.
Ebeh (tt)	1. Dư. Mâo êbeh sa êtuh ]ô mnuih: Có dư trăm người. 
	2. Nhiều/ trội. Mâo êbeh hyøn kơ kâo: Có nhiều hơn tôi; Ih mâo mdiê êbeh êgao kơ thu\n adih: Anh có luôa trội hơn năm trước.
Ebeh êbiêr (tt)	1. Dư dật. Prăk ngăn êbeh êbiêr: Tiền của dư dật. 
	2. Quá mức. La] snăn êbeh êbiêr đei: Nói thế thật quá mức.
	3. Dư thừa. Braih mdiê êbeh êbiêr: Thóc gạo dư thừa.
Ebhơr, êbơr (tt)	1.Trơn. Eùlan anei êbhơr: đường này trơn.
	2. Láng. Mnal anei êbhơr [lia: Vải này láng bóng.
Ebuê (đgt)	Từ trần.
Ebua (dt)	Môn. Eùbua anei ktăl: Môn này ngứa. 
Ebuh (đgt)	Ngã.
Ebhui (tt)	1. Rữa. Boh ksă êbhui: Quả chín rữa. 
	2. Mục. }yøm bru\ êbhui jih: Thịt thối mục hết.
	3. Bở. Mnal sô êbhui: Vải cũ bở ra. 
Ebŭ (dt)	Bão. Angyøn êbu\: Gió bão.
Ebŭng (dt)	Măng. 
Eƀak (tt)	1. Bừa bãi. Blu\ tlao ê[ak: aûn nói bừa bãi. 
	2. Tục. Dlao wa] ê[ak: Chửi tục.
Eƀăt (tt)	1. Gọn gàng.   
	2. Sạch. Mnuih ê[ăt: Người sạch.
Ečăm (dt)	Họ eù]ăm. ( họ của người Êđê).
Eda (dt)	Xà ngang.
Êdam (dt)	Thanh niên (nam). Hđeh êdam êra: Thanh niên.
Êdam ngiêk (dt)	Thiếu niên.
Êdah (tt)	1.lộ
	2. Hiện rõ. Aáu êdah klă êdi: Nó hiện rõ.
Êdah brưl (bt)	Rõ ràng.
Êdai (dt)	1.Bễ. Kwă êdai iu\ pui: Keôo bễ thổi lò. 
	2. Đưa. Eùdai jao: đưa võng. 
Êdak (dt)	Bí đao
Êdap (dt)	Vông. 
Êdeh (dt)	Xe.
Êdeh êdâo (dt)	Xe cộ.
Êdei (bt)	1. Sau. Aáu êbat êdei: Nó đi sau. 
	2. Kế. Mo# êdei: Vợ kế.
Êdei êdă (trt)	Sau cùng.
Êdei adih (trt)	Sau này.
Êdei anăp (trt)	Tương lai.
Êdê (dt)	Luồng.
Êdi (pht)	1. Rất
	2. Chăc. Eùdi he\? Chăc hả (thật không?).
	3. Thật vậy. Snăn êdi: Thật vậy; Djo\ êdi: đuông vậy.
Êdjin (tt)	Nhão
Êdu (tt)	1. Yếu. Mta bruă ăt dôk êdu: Phong trào còn yếu. 
	2. Dịu. Eùdu đo\k k[ông: Dịu giọng. 
	3. Keôm. Ală êdu: Măt keôm. 
Êdu čhut (tt)	Hời hợt.
Êdu êdŏk (tt)	Yếu keôm. Klei myøn êdu êdo\k: Suy nghĩ yếu keôm.
Êdŭk (dt)	1. Ngọn. Eùdu\k plei: Ngọn bí. 
	2. Sau cùng. Kpiê êa êdu\k kba: Rượu sau cùng nhạt. 
	3. Mũi. Eùdu\k đao: Mũi đao.
Êđai (dt)	1. Khốn/thăôûng. Eùđai ktu\t: Tên khốn. Eùđai asâo: Chó con.  
	2. Con (chỉ dùng cho con vật thay thực vật cây con). Eùđai êmô: Con bê; eùđai mdiê: Mạ.
Êđai pĭ (dt)	Thăôûng nhãi.
Êđal (dt)	Nông
Êđal blă (tt)	Đơn giản. 
Êđăp (tt)	Mát.
Êđăp drưm (tt)	Mát mẻ.
Êđê (dt)	Dân tộc Êđê.
Êga (dt)	Sỏi.
Êgah (tt)	Mỏi.
Êgah êgăn (tt)	Eù ẩm.
Êgap (tt)	Thợ săn.
Êgar (tt)	Lạ. Mnuih êgar: Người lạ.
Êgaih (tt)	1. Rõ ràng. Boh blu\ êgaih: Lời nói rõ ràng.
	2. Chính nghĩa. Drei mblah kyua klei êgaih mnga]: Chuông ta chiến đấu veã chính nghĩa.
Êgao (đgt)	Qua. Kâo êgao mnư\: Tôi qua hàng rào; eùgao sa thu\n: Qua một năm.
Êgei (dt)	Răng. 
Êhai (tt)	Rộng.
Êghaih (đgt)	Gỡ. Eùghaih nư: Gỡ nợ.
Êhao (tt)	1. Tốn. Huă [ơ\ng êhao: aûn uống tốn. 
	2. Thuận tiện. Hruê anei mă bruă êhao snăk: Hôm nay làm việc rất thuận tiện.
Êghăng (tt)	Chăc
Êhăng (dt)	Trầu.
Êhăk êhai (tt)	1. Lạc quan. Hdyøp m’ak m’ưr êhăk êhai: Sống vui vẻ lạc quan. 
	2. Hồn nhiên. Ai tiê êhăk êhai: Tấm lòng hồn nhiên.
Êhiô̆(tt)	Vãn. Sang ]ơ êhio# mnuih: Chợ đã vãn người.
Êhŭng (dt)	Dạ dày.
Êhưl (dt)	Lợi( lợi răng) 
Êhưng tt)	Rỗng.
Êhưng êhang (tt)	Trống rỗng.
Ê-i (dt)	Rổ
Ê-i rưng (dt)	Rá. 
Ê- i knguôr (dt)	Thuông mủng.
Ê- ih (tt)	1. Nhừ. Riă ]yøm tơl ê- ih: Hầm thịt đến nhừ.
	2. Chín mùi. Mtei ksă ê- ih: Chuối chín mùi.
Ê-iăt (tt)	Văng
Ê-iăt êyăng (tt)	Văng vẻ
Ê- iŏ (tt)	Yên lặng.
Ê- iô̆êyăng (tt)	Văng lặng
Êjai (trt)	1. Vừa. Hmei êbat êjai yăl dliê êjai: Chuông tôi vừa đi vừa nói chuyện. 
	2. Trong khi. Eùjai hmei dôk hriăm ih blu\: Trong khi chuông tôi đang học anh nói chuyện. 
	3. Trong luôc.  
Êjai anei (trt)	Hiện tại.
Êjai anei hin (trt)	Hiện giờ.
Êjai kơ tluôn (trt)	Quá khứ.
Êjao (dt)	Võng.
Êjăng (tt)	Chăc.
Êjung (dt)	Cây măt mèo. 
Êka (đgt)	Bị thương. 
Êkă (tt)	Nhám.
Êkăl (tt)	Đục. Eùkăl plu\k: đục ngầu.
Êkei (dt)	Nam (người).  
Êkei hruê (dt)	Nam giới
Êkŏ (đgt)	Đông/đặc. Eùa êko\ jing klo\ êa ê-ăt: nước đông thành đá; eùa [êyû êko\ tlit: nước đường đặc sệt.
Êkŭt (tt)	Văng.
Êklai (dt)	Tyoã.
Êklăk (dt)	Triệu.
Êla (tt)	Muộn
Êlah (dt)	Lưỡi.
Êlah pui (dt)	Ngọn lửa.
Êlah êa (dt)	Mặt nước.
Êlam (tt)	Sâu. {ăng êa êlam: Giếng nước sâu.
Êlan (dt)	Con đường. 
Êlan klông (dt)	Đường sá.
Êlan tâo (dt)	Ngôi (ngôi tóc). Tlak êlan tâo: Rẽ ngôi tóc.
Êlâo (gt)	Trước. Ih nao êlâo kâo dôk êdei: Anh đi trước tôi đi sau.
Êlhuê (tt)	Rộng.
Êlhuê êlhiăk (tt)	Rộng rãi.
Êlưih (tt)	1. Rẻ. Djam mtam êlưih snăk: Rau rất rẻ.
	2. Dễ. Klei tyøng anei êlưih: Pheôp tính này dễ hiểu.
Êlưih pưih (tt)	Rẻ mạt. 
Êlŏk (tt) 	Phiền
Êlơ̆k/ êñơ̆k (đgt)	Nhăc. Eùlơ\k wyøt êlơ\k nao sa klei anăn: Nhăc đi nhăc lại một chuyện đó.
Êma (dt)	Số 5. 
Êman (dt)	Voi.
Êmă (dt)	Mỡ.
Êmăn (tt)	Mệt. 
Êmăn êmiêt (tt)	Mệt mỏi. 
Êmăt (đgt)	Thiện xạ. 
Êmeh (dt)	Tê giác.
Êmit (tt)	Hiền.
Êmit êngiê (tt)	Hiền hậu.
Êmiêt (đgt)	Dọn.
Êmĭng (tt)	Lyoå.
Êmŏng (tt)	Mập.
Êmŏng êmă	Mập mạp.
Êmô (dt)	Con bò.
Êmông (dt)	Hổ. Eùmông bre#]: Báo; eùmông gu: Sư tử.
Êmuh (đgt)	Hỏi.
Êmut (đgt)	Gheôt. 
Êmưt (tt)	Chậm.
Êmưt dhưt (tt)	Chậm chạp.
Ênah (dt)	1. Mủ. Tiêng kbu\m ênah: Nhọt mưng mủ.
	2 . Róy mới.
Ênai đt)	Tiếng.
Ênai dhuai (dt)	Tiếng tăm. Amâo hmư\ ênai dhuai: Không nghe tiếng tăm geã.
Ênang (tt)	Hiền. Eùnang mse\ si hlô rang: Hiền như nai.
Ênang ê- ưt (tt)	Nhàn rỗi; chậm rãi.
Ênang ê- ưih, ênang blang (tt)	 
Ênao (dt)	Hồ.
Ênăng (dt)	Giun đất.
Ênăr (dt)	Sào. Sră giê ênăr: Lao cái sào.
Ênăp (tt)	Khăm.
Ênoh (dt)	1. Giá. Hruôm m’ar ênoh tlâo êbâo prăk: Quyển vở giá ba ngàn đồng. 
	2. Số lượng. Du\m ênoh mnuih dưi ngă?: Bao nhiêu số lượng người làm được?.
Ênô (tt)	Thật thà.
Ênông (đgt)	Gánh.
Ênua (dt)	Mạng người.
Ênuk (dt)	1. Thời. Eùnuk hđeh êlăk: Thời thơ ấu. 
 	2. Giai đoạn (thời kyoå).     
Ênuč (dt)	1. Nọc. Hnuê du] ho\ng ênu]: Ong đốt băôûng nọc.
	2. Đầu nhọt: eùnu] tiêng.
Ênŭm (tt)	Đủ.
Ênŭm ênap/ênŭm drŭm (tt)	 
Ênŭng (dt)	Lươn.
Êña (dt)	Quang. Eùyûa ênông: Quang gánh.
Êñah (đgt)	1. Vung. Eùyûah tloh klei kă: Vung đứt dây trói.
	2. Chao. Eùyûah ê-i djam: Chao rổ rau.
Êñan (dt)	Thang.
Êñăt (đgt)	Kyoå cọ. Eùyûăt bi doh: Kyoå cọ cho sạch.
Êñuei (dt)	Xâu
Êñuôl (dt)	Con tê tê
Êngăn (tt)	Eùm ả. Adiê êngăn: trời êm ả.
Êngăp (tt)	Ngập. Eùa êngăp bo\ dlai: Nước ngập tràn đầy.
Êngeh (tt)	Trong.
Êngeh ƀhang (tt)	Trong văt.
Êngiê (dt)	Hòa beãnh. Lăn êa leh êngiê: đất nước đã hòa beãnh.
Êngĭt (dt)	Trời.
Êngoh (dt)	Sốt.
Êngu (dt)	Vừng đen.
Êngŭm (tt)	Đông.
Ênguôt (tt)	Buồn.
Ênguôt ê-ưn (tt)	Buồn thiu.
Ênguôt dhuôt (tt)	Buồn bã. {o# mta ênguôt dhuôt: Vẻ mặt buồn bã.
Ênham (dt)	Đăùm. Uyõn ênham: heo đăôûm.
Ênham êrah (dt)	Vũng máu.
Ênhă (dt)	Diện tích. Eùnhă lo\: Diện tích thửa ruộng.
Ênhă ƀô̆(dt)	Bề mặt. Eùnhă [o# lăn: Bề mặt trái đất.
Ênhiang (dt)	Vùng
Êpa (tt)	Đói. Eùpa tian: đói bụng.
Epan (dt)	Con rít
Epei (đgt)	Mơ ( ngủ mơ).
Epih (tt)	Mỏng.
Epông (dt)	Thăn. Klo\ kđeh êpông: Miếng thăn nõn.
Epul (đgt)	Nhóm. 
Epul êya (dt)	Địn thể. 
Epŭk êpiăk (tt)       	Bơ phờ. 
Era (đgt)	Thiếu nữ. 
Erah (dt)	Máu.
Eran (đgt)	Chạy.
Eriâo (dt)	Lục lạc.
Erin (tt)	Nghèo.
Erin tap (tt)	Nghèo khổ.
Erĭt (tt)	Mồ côi.
Erĭt êrin (tt)	Côi cuôt.  
Eruê (dt)	Dấu
Eruê (dt)	Gai. Eùruê tlo\ jơ\ng: Gai đâm vào chân.
Eruh (tt)	Bê trễ.
Erŭm (dt)	Kim.
Esei (dt)	Cơm.
Esŭn (dt)	  Hành (củ hành). Eùsu\n hla: Hành lá; eùsu\n boh: Hành củ.
Esŭn atâo (dt)	Hẹ.
Esŭn ñô (dt)	Kiệu.
Esŭng (dt)	Cối.
Etak (dt)	Đậu.
Etak êbai (dt)	Chỉ chung các loại đậu. 
Etak aduôn sun (dt)	Đậu nành.
Etak čăt (dt)	Giá đỗ.
Etăng (đgt)	Xiết.
Etuh (dt)	Trăm.
E- un (tt)	1. Mềm. Ksueh ê- un 
	2. Dẻo. Eùsei ê- un: Cơm dẻo.
	3. Kheôo. Blu\ ê- un: Kheôo mồm.
E- un ê-ăk (tt)	1. Yếu ớt. Mnuih mă bruă ê- un ê-ăk: Người làm việc yếu ớt.
	2. Mềm nhũn. Jơ\ng kngan ê- un êăk: Chân tay mềm nhũn.
E- un dhun (tt)	1. Mềm mại. Plă kngan ê- un dhun: Bàn tay mềm mại. 
	2. Eùm dịu. Asăp blu\ ê- un dhun: Tiếng nói êm dịu.
E-un djun (tt)	Eùm ái.
E-ưp ê-ap (tt)	Aõaém thấp.
E-ưt (đgt)	Tạnh.
E-ưt hjan (tt)	Tạnh mưa.
Ewa (dt)	Hơi. Eùwa k’hul: Bốc hơi;  Tian mtuh mtưh êwa: Bụng đầy hơi.
Ewak (đgt)	Khuân. 
Ewang (tt)	Gầy.
Ewang êwĭt (tt)	Gầy gò. Asei mlei êwang êwyøt: Thân heãnh gầy gò.
Ewăng (đgt)	Lùng. Eùwăng duah phu\ng kne\: Lùng băt tên trộm.
Ewei (đgt)	Xe sợi. Eùwei mrai: Xe chỉ.
Eweh êwit (tt)	Khẳng khiu (người và động vật).  
Ewiên (dt)	Liệt (bệnh).
Ewiên êwu (tt)	Bại liệt.
Ewiêt (dt)	Kiệt (kiệt sức)
Ewư (đgt)	Mò. 
Ewư êpêč (đgt)	Mò móm.
Eya (dt)	Gừng.
Eyăn (dt)	Mướp.
Eyăng (tt)	Tĩnh mịch.
Eyông (dt)	Xà dọc trong nhà sàn Êđê.
Eyuh (đgt)	Lay. Eùyuh boh kroh: Lay rụng trái cây;
Eyuh kngan (đgt)	Băt tay nhau.
Eyui (dt)	Bóng. Eùyui kyâo. Bóng cây.
	 
Ê̆	 
	 
Ê̆č (dt)	Rau quế
Ê̆č dliê (dt)	Hương nhu
	 
G	 
	 
Ga (dt)	Khí đốt. Pui ga: Bếp ga
Gah (dt)                   	Nhà ngịi (phần phía trước của nhà dài Êđê dành cho khách và cho sinh hoạt lễ hội).
Gai (đgt)	Điều khiển. Si gai si gưt: bảo geã làm nấy.
Gai kpiê	Mời rượu (điều khiển tiệc rượu).
Gam (đgt)	Đậu
Gang (đgt)	Chặn
Găl 	I.(đgt) chặt. Găl adhan kyâo: chặt cành cây.
	Ii.(tt) có lyô. Hlei găl ? Ai có lyô ?
Găm (đgt)	1.Che. Aáu găm kđô kphê: Nó che bao cà phê.
	2. Đậy. Aáu găm go\ djam: Nó đậy nồi canh. Găm sir: đậy kín.
Găn (đgt)	Qua
Găn gao (đgt)	Qua lại.
Găp (dt)	1. Mái nhà. Găp sang anei ta\m ho\ng hlang: Mái nhà này lợp băôûng tranh.
	2. Bè bạn.
Găp djuê (dt)	Họ hàng.
Giăm (dt)	Gần
Giê (dt)	Que
Giê gai êdeh (dt)	Tay lái (xe ôtô).
Giêng (dt)	Công đoạn luồn sợi dọc vào go trong nghề dệt truyền thống.
Giê dra (dt)	Cây gậy.
Giê dưh (dt)	Đũa.
Giêt (dt)	Quả bầu
Giêu (dt)	Bóy thăt.
Gĭ (đgt)	Chải. Aáu gyø  ko\: Nó chải đầu.
Gĭr (đgt)	Cố. Di yûu gyør mă bi leh: Chuông nó cố làm cho xong.
Gĭr ktĭr (đgt)	Cố găng
Gĭr ktưn (đgt)	Phấn đấu.  
Gĭt gai (đgt)	Lãnh đạo. Y - Tu\ gyøt gai hmei jak êdi: Y - Tu\ lãnh đạo chuông tôi rất tốt.
Ghan (dt)	Buôn ( buôn bán).
Ghan mnia (dt)	Buôn bán. Aáu mă bruă ghan mnia: Nó làm nghề buôn bán.
Ghang (đgt)	Nướng. Kâo dôk ghang ]yøm u\n: Tôi đang nướng thịt lợn.
Ghă (đgt)	Can
Gŏ (dt)	Nồi
Gŏ ƀŭng (dt)	Nồi đồng. Amyø kâo mâo lu go\ [u\ng: Mẹ tôi có nhiều nồi đồng.
Gŏ êa čê (dt)	Aõaúm chè.
Gŏ êsei (dt)	1.(đen). Nồi cơm. Dai go\ êsei kơ kâo: đưa nồi cơm cho tôi.
	2.(bóng). Hộ gia đeãnh. Go\ êsei kâo mâo tlâo ]ô mnuih: Gia đeãnh tôi có ba người.
Gŏng (dt)	Cương.
Gŏng gô̆č (dt)	Bọ ngựa.
Gô (tt)	Cong.
Gô̆(đgt)	Hiếp dâm.
Gơ̆ (đại từ)	Nó (ngôi thứ ba số ít).
Gơ̆ng (dt)	Cột.
Grăn (dt)	Cán. Grăn wah: Cần câu. Mă grăn wah: Lấy cần câu.
Grat (dt)	Cấp bậc. 
Grăm (dt)	Sấm
Grăm kmlaĭ (dt)	Sấm seôt.
Grăp (phụ từ)	Mỗi. Grăp ]ô hmei nao hma s’ayø: Mỗi chuông tôi đều đi róy.
Grê 	Cái đòn cong.
Grê̆ñ (đgt)	Gầm. Eùmông gre#YÛ: Hổ gầm.
Gri 	I. (dt) cây
 	Ii. (tt) nhà săp đổ.
Griă (giơïi từ)	Sát. Gria\ lăn: Sát mặt đất.
Griăng (dt)	Nanh. Griăng asâo knur s’năk: Răng nanh của con chó rất nhọn.
Grĭ (dt)	1. Caöïu bẩn
	2. Đất (dơ bẩn trên cơ thể).
Grĭng (đgt)	Đỡ ( đỡ dậy)
Griŏ (dt)	Đường viền (rỗ rá)
Grĭp (dt)	Cái bóy chuột. Aáu nao [e#c\ gryøp:  Nó đi bóy chuột.
Groh (đgt) 	Sủa. Asâo groh: Chó sủa.
Grông (dt)	Hàng
Grôñ (tt) 	Thon buôp măng.
Gru (dt)	Dấu
Grua (dt)	Tua rua.
Gru bi kal (dt)	Chữ thập (+).
Gru jơ̆ngn (dt)	Dấu chân.
Gru kđiêng kngan (dt)	Dấu vân tay.
Gruê (dt)	1. Bàn chải.
	2. Lông bờm (trên lưng).
Gruê hlô ŭn	Lông lợn rừng.
Gruh (dt)	Vùng trũng
Grŭp 	I.(tt). Gục
 	Ii.(dt). Nhóm
Grư̆ (dt)	Con đại bàng.
Grưh (dt)	Xương sườn.
Gu (dt)	Cụp xuống
Gu ktơr (dt)	Cùi băp.
Guam (tt)	Ngượng
Guam ahuam (tt)	Ngượng ngùng.
Guê lŏ (dt)	Bờ ruộng.
Guê̆č (đgt)	Chịng. Kâo gue#]  ]hiăm: Tôi chịng khăn.
Gu ga (dt)	Quả thanh long.
Gu gê (dt)	Bọ dừa.
Guh (đgt)	Aoûnh lên
Guh k’ang (tt)	Lộng lóy
Gu tuk (dt)	Chim tu huô.
Gui (đgt)	Gùi (nước
Guôm (tt)	Bọc kín
Guôn (đgt)	Chờ
Gun (tt)	Vướng. Eùlan anei Gun ho\ng êdeh: đường này vướng xe.
Gung (dt)	Bóy sập.
Guôp (tt)	Hợp. Ao anei guôp  ho\ng ih: Aoûo này hợp với chị.
Guôr (dt)	Dọc (khoai nước
Guôp êlâo	Tiếp theo.
Gut (đgt) 	Uốn
Gưl (dt)	Bậc
	Cấp I.
Gưt asăp (dt)	Vâng lời.  Aáu gưt asăp amyø ama: Nó vâng lời cha mẹ. 
Gưr (dt)	Sự gia tăng.
Guôk (dt)	Guốc mang.
Guôl (dt)	Cây cọ.
Gŭt gu (tt)	Gật gù.
Gư̆ (đgt)	Aõaún
	 
H	 
	 
Ha (đgt)	Há. Ha [ăng êgei: Há miệng.
Hah (phụ từ)	Đây
Hal (đgt)	Xẻ. Hal ]yøm: Xẻ thịt.
Hak (đgt)	Dang. Hak jơ\ng: Dang chân.
Han (đgt)	Vá. Han pông êdeh: Vá xe.
Hang 	I.(dt).1.bờ. Hang êa krông: bờ sông.
	2. Bãi. Hang êa ksi\: Bãi biển.
	Ii.(tt). Rát. Hang kngan: rát tay.
Hao hao	Tiếng ồn trong đám đông.
H’ap (đgt)	Ngáp. Aáu h’ap ]iăng pyøt: Nó ngáp ngủ.
Har (đgt) 	Hấu (cầu kyoå).
Hat (tt) 	The.
Hă (phụ từ) 	1. Này
	2. Hả
Hăng (tt)	Cay. Mre#] Hăng: eûoût cay.
Hăt (dt)	Thuốc lá. 
Hăt klĭt (dt)	Thuốc xeã gà.
Hăt reh (dt)	Thuốc rê.
Hâo (đgt)	Báo
Hbâo (dt)	Tro. Kue# hbâo: Hốt tro.
Hbâo pruê (dt)	Phân bón.
Hbei (dt)	Khoai
Hbei ƀlang (dt)	Khoai meã.
Hbia (dt) 	Công chuôa
Hbiê (dt) 	Tên cây
Hbĭl (trạng từ)	Khi nào
Hƀlŏk (đgt)	Hối hận
Hƀơih (phụ từ) 	Ối chà
Hƀuê ktuê (đgt) 	Lần theo. 
Hƀuê ênuk (dt)	Lịch sử. 
Hda (dt) 	Chông loại nhỏ.
Hdang (dt)	Tôm. {ơ\ng hdang: aûn tôm.
Hdao (dt) 	Tên một loại cây
Hdăm (dt)	Con kiến. Hdăm ke\: Kiến căn.
Hdăng	I.(dt). Than. Ku\] pui hdăng: nhóm bếp than.
	Ii.(pt). 1. Đều. Hmei dua hdăng nao hma: hai chuông tôi đều đi róy.
	2. Lón. Hdăng pô: Lón nhau.
Hdei (đgt)	Sàng sẩy. 
Hdiêr (tt) 	Rống
Hdĭp (đgt)	Sống. Kâo hdyøp ti [uôn Alê B: Tôi sống ở buôn Alê B.
Hdjai (đgt) 	Chỉ động tác chuyển từ cành cây này sang cành cây khác của khỉ
Hdơr (đgt)	Nhớ. Ih hdơr mơ\ kâo?: Anh có nhớ tôi không?.
Hdơr knga	Nhớ ơn.
Hdrah (dt) 	1. Rừng non
	2. Đám rừng đã xí trước để làm róy.
	3. Ghềnh.
Hdrak (đgt)	Ho cảm
Hdrô (dt) 	Một giống luôa sớm Êđê.
Hdruôm (dt)	I.(dt) quyển. Brei kâo sa hdruôm klei êđê: cho tôi một quyển tiếng êđê.
	Ii.(đgt) bao
Hdruôm hră (dt)	Quyển sách.
Hdruôm jơ̆ng (dt)	Giày.
Hdruôm m’ar (dt)	Quyển vở.
Hđăp (dt)	Cũ
Hđeh, hđeh êlăk (dt)	Trẻ em
Hđeh êdam (dt)	Thanh niên (trai).
Hđeh ĭ (dt)	Trẻ sơ sinh.
Hđeh êra (dt) 	Thanh niên (gái).
Hđeh hriăm hră (dt)	Học sinh.
Hđĭ hđang (đgt)	Loay hoay
Hđô	Quên băôïng.
Hđô mla (dt)	Chỉ voi đực không có ngà.
Hđơ̆ng (tt)	Yên ổn.
Heh 	I. (dt) đơn vị đo chiều dài từ cùi chỏ đến ngón tay.
 	Ii. (đgt) hí (ngựa).
Hei (phụ từ)	Eõ
Hĕ (phụ từ) 	1. Đã (có yô khẳng định). Kâo mă he\ bruă: Tôi đã làm việc.
	2. Eõ
H’ê̆č hmưi (đgt) 	Cầu chuôc
Hê̆ñ (đgt)	Xấu hổ. Đăm he#YÛ  ôh: đừng xấu hổ.
Hgăl (tt)	Nguyên vẹn.
Hgăm (tt)	Kín
Hgao (đgt)	Bước ngang qua.
Hgơr (dt)	Cái trống.
Hgŭm ngă	Giuôp nhau.
Hia (đgt)	Khóc.
Hiă (tt)	Rữa. Bru\ hiă: Thối rữa.
Hiêk (đgt)	Xeô.
Hiên 	I.(tt) thóp. Hiên tian: thóp bụng.
	Ii.(dt) eo (quả bầu
Hik (đgt) 	Hệch. Hik tlao: Hệch miệng cười.
Hin (tt) 	Hiếm.
Hing (đgt) 	Đồn đại.
Hing ang (dt)	Danh tiếng
Hip (dt) 	Rương
Hip mdơ̆ng (dt) 	Tủ đứng.
Hip mgăn (dt)   	Tủ trà.
Hiu (đgt)	Đi rong
Hĭn (phụ từ)	Hơn.
Hĭn dĭn	Hơn hẳn.
Hjan (dt)	Mưa. Hjan le\ rah: Mưa rào.
Hjăn (tt)	Một meãnh.
Hjei (dt)	Dùi đục.
Hjŭng (dt)	Vợ lẻ. (vợ lẽ).
Hla (dt)	1. Lá. Hla luh: Lá rụng.
	2. Cái diều. Eùran hla: Thả diều.
Hlah (tt)	Ngán.
Hlai (tt)	Nguôi. Hlai ai: Nguôi giận.
Hlang (dt)	Cỏ tranh. 
Hlao	I.(dt) cái khay
	Ii.(đgt) khỏi bệnh
Hlăk 	I.(trạng từ) khi. Hlăk anăn: khi đó.
	Ii.(trợ từ) đang. Aáu hlăk lê#yû: nó đang chơi.
Hlăk hlai (tt)	Thỏa mãn.
Hlăm 	I. (giới từ) trong
	Ii. (tt). 1. Sỉ. }hyø hlăm: bán sỉ.
Hlăp (đgt)	Chơi. Hlăp ku\p dăp: Chơi trò trốn teãm.
Hlăp lê̆ñ (đgt)	Chơi đùa.
Hlăp mbŭl (đgt)	Nô đùa
Hlâo (dt)	1. Chày. Hlâo tăp mdiê: Chày giã thóc.
                                	2. Đôi. Sa hlâo jep: Một đôi deôp.
Hlâo êya (dt)	Chày nhỏ.
Hlei (đt)	1. Ai. Hlei nao ho\ng ih? Ai đi với anh (chị)?
	2. Geã (Từ dùng để khỏi tên) Hlei anăn ih? Anh (chị) tên geã?
Hli (đgt)	San phẳng.
Hli ai (đgt) 	Làm vừa lòng
Hliăng (dt)	Tên một cái cồng trong bộ cồng người Êđê.
Hlia (đgt)	Liếm.
Hliăr (tt)	Xảo quyệt.
Hliê (tt)	1. Lẻ loi
	2. Còn son
Hliêng (đgt)	Vác.
Hliêng wih (trgt)	Xế chiều.
Hin knap (dt)	Nghèo khổ. Sang kâo hin knap: Nhà tôi nghèo khổ.
Hiu êbat (đgt)	Tản bộ.  
H’iêng	I.(đgt) chiều chuộng.
	Ii.(tt) cưng
H’iêng h’ưi (tt)	Thương tiếc.
Hiu lua (đgt)	Đi săn.
Hiu lua mnah (đgt)	Săn băn.
Hiu puh hlô (đgt)	Đi đuổi thuô (mang tính chất bao vay).
Hĭp (hư từ)	Bức. Hlơr hyøp: Nóng bức.
H’ĭt (dt)	Yên tâm. H’yøt yơh ho\: Hãy yên tâm nheô.
Hgơr (dt)	Trống.
Hgŭm (đgt)	Địn kết.
Hgŭm ai (đt)	Phối hợp
Hjan ƀhŭk (dt)	Mưa phùn.
Hjan angĭn (dt) 	Mưa gió.
